close,high,low,open,timestamp,volume
19638.97420406,19638.97420406,18560.02583889,18560.02583889,2020-11-30T00:00:00Z,29701853798
18303.51613153,18391.02770076,18303.51613153,18391.02770076,2020-11-29T00:00:00Z,25570127688
17728.08446859,17728.08446859,17390.2386004,17472.61963365,2020-11-28T00:00:00Z,26050181936
17167.7488988,17277.58929413,16834.90529424,17185.71294776,2020-11-27T00:00:00Z,33258207837
17209.94685415,18239.79308376,16755.58550993,18172.00994196,2020-11-26T00:00:00Z,52756339893
18782.53857588,18881.51777925,18752.70730018,18752.70730018,2020-11-25T00:00:00Z,36900632995
19126.64454143,19126.64454143,18384.52350443,18384.52350443,2020-11-24T00:00:00Z,45910440940
18473.21456216,19476.37485151,18473.21456216,19476.37485151,2020-11-23T00:00:00Z,35836020025
18494.377659,18910.24107168,18494.377659,18910.24107168,2020-11-22T00:00:00Z,34671197916
18763.70471514,19529.6062445,18763.70471514,19529.6062445,2020-11-21T00:00:00Z,33228098623
18693.12321728,18693.12321728,18558.84545135,18561.71133047,2020-11-20T00:00:00Z,31706738354
17835.2628385,17849.54602731,17639.44884008,17708.97172756,2020-11-19T00:00:00Z,32870847711
17818.62343707,18056.49961037,17566.15431608,17619.60641815,2020-11-18T00:00:00Z,44627343306
17669.36909472,17669.36909472,17030.7397911,17030.7397911,2020-11-17T00:00:00Z,35459585579
16684.40688618,16684.40688618,16148.65446667,16148.65446667,2020-11-16T00:00:00Z,27009793151
15947.02507739,15955.15944031,15802.53628289,15802.53628289,2020-11-15T00:00:00Z,20106389947
16080.54199081,16080.54199081,15937.86496473,16029.54689064,2020-11-14T00:00:00Z,23357818706
16329.30681007,16544.00949936,16329.30681007,16544.00949936,2020-11-13T00:00:00Z,26764341554
16283.96006706,16283.96006706,15699.92823041,15699.92823041,2020-11-12T00:00:00Z,30387306488
15723.71413857,15723.71413857,15565.1874353,15565.1874353,2020-11-11T00:00:00Z,24836972972
15334.78617084,15446.7966157,15334.78617084,15446.7966157,2020-11-10T00:00:00Z,24103939839
15350.29147954,15511.07418778,15098.09631278,15328.07849036,2020-11-09T00:00:00Z,30645599691
15463.72696152,15463.72696152,15227.77630173,15227.77630173,2020-11-08T00:00:00Z,26981953587
14842.91841691,15289.7596188,14745.39516409,15289.7596188,2020-11-07T00:00:00Z,31847037410
15637.96363325,16271.31008534,15637.96363325,16271.31008534,2020-11-06T00:00:00Z,38746305583
15516.39616439,15516.39616439,14403.74884704,14403.74884704,2020-11-05T00:00:00Z,39705849593
14212.40873192,14273.45679621,14073.57408647,14273.45679621,2020-11-04T00:00:00Z,27060868501
13992.63025983,13992.63025983,13637.9076881,13637.9076881,2020-11-03T00:00:00Z,23936882224
13559.34031652,13568.96854213,13456.89436609,13568.96854213,2020-11-02T00:00:00Z,22924461192
13824.38216094,14030.18956324,13824.38216094,14030.18956324,2020-11-01T00:00:00Z,20120658959
13797.72495888,13838.2247122,13642.127235,13642.127235,2020-10-31T00:00:00Z,22991236165
13576.45490414,13576.45490414,13338.60951928,13338.60951928,2020-10-30T00:00:00Z,27056833209
13463.43883214,13463.43883214,13247.29291086,13267.06161137,2020-10-29T00:00:00Z,23971987224
13291.07455216,13483.26421667,13175.03798511,13427.05916354,2020-10-28T00:00:00Z,27331412287
13652.12792378,13652.12792378,13205.05739873,13205.05739873,2020-10-27T00:00:00Z,25856621073
13068.10628813,13068.10628813,12807.87030826,12807.87030826,2020-10-26T00:00:00Z,21442470628
13027.91743989,13049.01441581,12986.3394344,12997.50129838,2020-10-25T00:00:00Z,19311006527
13110.99091835,13110.99091835,12980.23176631,12980.23176631,2020-10-24T00:00:00Z,18851691841
12917.21660174,12917.21660174,12859.48616138,12890.53791808,2020-10-23T00:00:00Z,21444545119
12979.57444517,13175.77114862,12979.57444517,13175.77114862,2020-10-22T00:00:00Z,27054458919
12788.98466907,12935.07660272,12222.97037905,12222.97037905,2020-10-21T00:00:00Z,33102299257
11909.19952811,11909.19952811,11557.36098538,11557.36098538,2020-10-20T00:00:00Z,23716789488
11747.88633955,11747.88633955,11539.45455463,11539.45455463,2020-10-19T00:00:00Z,17951919201
11525.66811351,11614.48898978,11525.66811351,11596.21933555,2020-10-18T00:00:00Z,14184574383
11371.10426213,11401.07611121,11371.10426213,11388.80928045,2020-10-17T00:00:00Z,14627036396
11322.72195936,11322.72195936,11271.11428365,11271.11428365,2020-10-16T00:00:00Z,20536170695
11512.78913967,11512.78913967,11413.85472521,11413.85472521,2020-10-15T00:00:00Z,20250546336
11432.06062377,11432.06062377,11396.80016558,11396.80016558,2020-10-14T00:00:00Z,20375744109
11449.96339592,11460.540991,11449.96339592,11460.540991,2020-10-13T00:00:00Z,20576243703
11550.31356754,11589.79864559,11550.31356754,11589.79864559,2020-10-12T00:00:00Z,21380135831
11384.82110848,11409.54943396,11381.39214559,11381.39214559,2020-10-11T00:00:00Z,15374375627
11299.37927892,11299.37927892,11162.14554755,11162.14554755,2020-10-10T00:00:00Z,18941014547
11060.72936651,11199.77713734,11060.72936651,11199.77713734,2020-10-09T00:00:00Z,18772553801
10934.32879464,10934.32879464,10827.15258025,10827.15258025,2020-10-08T00:00:00Z,19371264844
10675.66879182,10735.82531335,10608.81995202,10608.81995202,2020-10-07T00:00:00Z,16002217566
10608.83908516,10619.97917699,10569.25133221,10569.25133221,2020-10-06T00:00:00Z,17978665607
10789.20985313,10789.20985313,10704.86169378,10704.86169378,2020-10-05T00:00:00Z,16058756581
10689.7695146,10730.32101211,10689.5879025,10689.5879025,2020-10-04T00:00:00Z,14275073351
10555.87430429,10596.36213035,10555.87430429,10594.23723634,2020-10-03T00:00:00Z,13939717707
10584.91677845,10587.9183019,10492.05513986,10492.05513986,2020-10-02T00:00:00Z,20853624566
10620.08418419,10691.38978116,10577.39827597,10689.28108917,2020-10-01T00:00:00Z,20217121066
10787.95087019,10848.05428646,10787.95087019,10848.05428646,2020-09-30T00:00:00Z,17388755711
10840.92975564,10840.92975564,10793.84680749,10793.84680749,2020-09-29T00:00:00Z,17868657412
10682.18959066,10738.68946633,10682.18959066,10714.15002963,2020-09-28T00:00:00Z,19735478604
10779.03430205,10830.41362762,10779.03430205,10813.78896895,2020-09-27T00:00:00Z,16845125258
10739.071447,10842.51988974,10739.071447,10751.74745514,2020-09-26T00:00:00Z,15728628323
10708.22123829,10877.04536353,10708.22123829,10792.40232285,2020-09-25T00:00:00Z,18906086171
10732.26704206,10860.60884424,10732.26704206,10774.37414785,2020-09-24T00:00:00Z,21323030216
10223.21511537,10257.08193076,10101.35491689,10101.35491689,2020-09-23T00:00:00Z,19526437177
10551.22539981,10576.46995042,10516.35978655,10516.35978655,2020-09-22T00:00:00Z,20121698839
10434.43676207,10529.14225894,10323.73095184,10323.73095184,2020-09-21T00:00:00Z,25376970242
10924.59384418,10945.89821755,10750.79760506,10750.79760506,2020-09-20T00:00:00Z,22646300610
11095.73144875,11135.91465372,10970.71221563,10970.71221563,2020-09-19T00:00:00Z,19891066308
10952.62832093,11045.95147983,10851.13576314,10851.13576314,2020-09-18T00:00:00Z,22676201871
10953.8303708,11554.67472492,10953.8303708,11552.55401683,2020-09-17T00:00:00Z,26756981017
10945.6597778,10945.6597778,10808.41124921,10808.41124921,2020-09-16T00:00:00Z,27665304959
10791.59887141,10793.7852393,10399.10731319,10399.10731319,2020-09-15T00:00:00Z,26334228869
10671.06259871,10746.01523324,10581.48534048,10581.48534048,2020-09-14T00:00:00Z,25873321153
10344.22077976,10520.23484429,10001.07872946,10001.07872946,2020-09-13T00:00:00Z,22241073272
10472.88402823,10870.84573111,10472.88402823,10730.31885393,2020-09-12T00:00:00Z,21102645846
10397.10407024,10639.3052274,10397.10407024,10485.27188932,2020-09-11T00:00:00Z,22820038917
10355.32206893,10625.45120299,10355.32206893,10615.40369359,2020-09-10T00:00:00Z,26210543380
10233.1272473,10481.44746239,10233.1272473,10443.06376807,2020-09-09T00:00:00Z,22533492581
10136.76860789,10136.76860789,10063.87328293,10063.87328293,2020-09-08T00:00:00Z,29466894379
10385.59900955,10598.72338676,10294.89229432,10294.89229432,2020-09-07T00:00:00Z,30450684924
10289.69080934,11043.4883213,10289.69080934,10593.89105686,2020-09-06T00:00:00Z,33618751897
10153.56726643,10491.05653038,9483.87371206,9483.87371206,2020-09-05T00:00:00Z,39842756462
10489.44995143,10489.44995143,10229.59570239,10229.59570239,2020-09-04T00:00:00Z,30146467110
10203.31481116,10734.04467668,10203.31481116,10734.04467668,2020-09-03T00:00:00Z,30081097717
11442.21104928,11540.57255626,11405.68993781,11405.68993781,2020-09-02T00:00:00Z,27945687475
11936.10178566,12433.90683906,11936.10178566,12419.32012148,2020-09-01T00:00:00Z,27596002027
11655.24662257,11916.7357365,11655.24662257,11852.59848772,2020-08-31T00:00:00Z,21539057223
11758.98940816,12107.36883853,11758.98940816,12088.43372992,2020-08-30T00:00:00Z,20351635965
11465.82620727,11604.3032308,11465.82620727,11597.17739402,2020-08-29T00:00:00Z,18207139519
11515.67835867,11558.39093991,11515.67835867,11530.61935025,2020-08-28T00:00:00Z,20024906669
11335.43254093,11418.01660558,11327.18707001,11418.01660558,2020-08-27T00:00:00Z,23750091996
11450.46267521,11450.46267521,11384.83143303,11384.83143303,2020-08-26T00:00:00Z,23207230501
11335.32337861,11420.81071926,11335.32337861,11420.81071926,2020-08-25T00:00:00Z,25784165095
11778.97882614,12125.61904214,11778.97882614,11969.43838617,2020-08-24T00:00:00Z,20898503049
11645.84792219,11685.82413785,11588.55918799,11588.55918799,2020-08-23T00:00:00Z,18632411839